"Name","Campus Protests"
"Title","University Campus Protests"
"Date","June 25, 2024 at 3:45 PM (GMT)"
"Duration","3:15:00"
"Participant Count","351"
"Participant Limit","350"
"Exercise Type","Binary"
"",""
"Question ID","Participant ID","Thought ID","Vote","Timestamp"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","d7035714-126e-4ce8-9e61-04332888b972","0a384272-02e2-43c2-8997-d683ddaf77fa","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","34346259-711b-40e5-a7eb-c1cf73bd22c0","09867793-48c3-4ada-867f-6b0af5b9fe16","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","6d0f807b-afd4-402b-84eb-9eec6de2c0de","5a62f615-9cd1-443f-b3d7-ef18d955357e","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","71898c0a-7774-4a8d-9599-a431de36c014","5a62f615-9cd1-443f-b3d7-ef18d955357e","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","d7035714-126e-4ce8-9e61-04332888b972","5a0ca1d6-2989-4253-9e67-eee3640227b0","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","34346259-711b-40e5-a7eb-c1cf73bd22c0","b26adb0d-740b-407f-8181-c0e20e8ab94c","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","fa8e96f6-ccbd-4ba1-b975-6cd8906649ff","e411b200-3526-408e-8a37-e27958171ca3","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","d7035714-126e-4ce8-9e61-04332888b972","019e643f-cc3f-4bcc-9280-6966d5389d92","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","34346259-711b-40e5-a7eb-c1cf73bd22c0","4269274d-7f7a-4684-a70c-05c27af713ae","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","fa8e96f6-ccbd-4ba1-b975-6cd8906649ff","4f4b785c-02ba-41c8-853f-6d6ab30e9836","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","33d574d4-9f28-46e8-b9d3-f797f35ebb2f","09867793-48c3-4ada-867f-6b0af5b9fe16","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","fa8e96f6-ccbd-4ba1-b975-6cd8906649ff","ce4a0d78-4944-495b-9ce6-99b4e12fbd55","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","fa8e96f6-ccbd-4ba1-b975-6cd8906649ff","498269ee-45e5-4ad8-8b0b-f8f85f0bf417","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","6d0f807b-afd4-402b-84eb-9eec6de2c0de","4f4b785c-02ba-41c8-853f-6d6ab30e9836","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","33d574d4-9f28-46e8-b9d3-f797f35ebb2f","e3482b52-4abe-4529-acf4-d587e240015e","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","97fbcb24-de60-4586-a42e-5a6ab6247ac7","019e643f-cc3f-4bcc-9280-6966d5389d92","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","6d0f807b-afd4-402b-84eb-9eec6de2c0de","019e643f-cc3f-4bcc-9280-6966d5389d92","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","59f70b14-3a18-4d8f-8181-502f37f52f09","8914a006-24bd-4aac-ae03-1a470ac10176","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","33d574d4-9f28-46e8-b9d3-f797f35ebb2f","0a384272-02e2-43c2-8997-d683ddaf77fa","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","97fbcb24-de60-4586-a42e-5a6ab6247ac7","4f4b785c-02ba-41c8-853f-6d6ab30e9836","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","33d574d4-9f28-46e8-b9d3-f797f35ebb2f","5a0ca1d6-2989-4253-9e67-eee3640227b0","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","97fbcb24-de60-4586-a42e-5a6ab6247ac7","a2cb74b9-6321-497f-8d20-4f3321b13959","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","97fbcb24-de60-4586-a42e-5a6ab6247ac7","5a0ca1d6-2989-4253-9e67-eee3640227b0","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","97fbcb24-de60-4586-a42e-5a6ab6247ac7","b26adb0d-740b-407f-8181-c0e20e8ab94c","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","59f70b14-3a18-4d8f-8181-502f37f52f09","09867793-48c3-4ada-867f-6b0af5b9fe16","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","8b6b5bf8-a4f6-4c80-a129-0f2497d03cb8","3785f455-d8a5-4ee8-bc92-7cf5639fd6e5","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","6d0f807b-afd4-402b-84eb-9eec6de2c0de","09867793-48c3-4ada-867f-6b0af5b9fe16","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","8b6b5bf8-a4f6-4c80-a129-0f2497d03cb8","019e643f-cc3f-4bcc-9280-6966d5389d92","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","59f70b14-3a18-4d8f-8181-502f37f52f09","78e462e2-6647-4c32-91dc-7f38c696bc54","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","c5991c2e-c383-4666-ae9f-d3542b4d548d","4269274d-7f7a-4684-a70c-05c27af713ae","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7b7363ef-2b68-40f9-a792-3424878a1fad","2d44689e-f91e-4798-8e47-1dbfb1525bf1","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","8b6b5bf8-a4f6-4c80-a129-0f2497d03cb8","498269ee-45e5-4ad8-8b0b-f8f85f0bf417","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","6d0f807b-afd4-402b-84eb-9eec6de2c0de","5a0ca1d6-2989-4253-9e67-eee3640227b0","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","5dd6bf1b-9667-4255-8cf4-e3840d01efad","4f4b785c-02ba-41c8-853f-6d6ab30e9836","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","3c2e0657-1564-47bb-94fb-6d87657e16d6","148b4943-dd67-4193-82ef-4bd138e19559","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","7b7363ef-2b68-40f9-a792-3424878a1fad","3785f455-d8a5-4ee8-bc92-7cf5639fd6e5","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","59f70b14-3a18-4d8f-8181-502f37f52f09","0e9bd24b-76dd-4335-b58b-e9a0ea816d18","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","c5991c2e-c383-4666-ae9f-d3542b4d548d","8aba8921-dc7d-4712-83d0-afbbc37d602a","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","3c2e0657-1564-47bb-94fb-6d87657e16d6","c295f964-084c-4203-b081-8a21c4d3bcd4","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","3c2e0657-1564-47bb-94fb-6d87657e16d6","7655d868-5f7a-4c8a-bd80-9e62fe7b5d8b","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","8b6b5bf8-a4f6-4c80-a129-0f2497d03cb8","e411b200-3526-408e-8a37-e27958171ca3","Agree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","3c2e0657-1564-47bb-94fb-6d87657e16d6","a767538f-8079-4bad-8bb0-7d535d568bca","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","59f70b14-3a18-4d8f-8181-502f37f52f09","3785f455-d8a5-4ee8-bc92-7cf5639fd6e5","Disagree","June 25, 2024 at 3:50 PM (GMT)"
"c695618c-23e8-4edd-a0cd-cff190e3d13c","6c978cf1-fe04-4a0f-9c37-c862b6f7f15e","77202f57-41e2-4e0c-8ecb-97422f0bb0fb","Agree","June 25, 2024 at 3:50 PM (GMT)"
